Vulnerabilities,links
 CVE-2024-26859 ,https://ubuntu.com/security/CVE-2024-26859
 CVE-2024-26944 ,https://ubuntu.com/security/CVE-2024-26944
 CVE-2024-27049 ,https://ubuntu.com/security/CVE-2024-27049
 CVE-2024-26868 ,https://ubuntu.com/security/CVE-2024-26868
 CVE-2024-26932 ,https://ubuntu.com/security/CVE-2024-26932
 CVE-2024-35843 ,https://ubuntu.com/security/CVE-2024-35843
 CVE-2024-35814 ,https://ubuntu.com/security/CVE-2024-35814
 CVE-2024-26866 ,https://ubuntu.com/security/CVE-2024-26866
 CVE-2024-26941 ,https://ubuntu.com/security/CVE-2024-26941
 CVE-2024-27080 ,https://ubuntu.com/security/CVE-2024-27080
 CVE-2024-26938 ,https://ubuntu.com/security/CVE-2024-26938
 CVE-2024-26889 ,https://ubuntu.com/security/CVE-2024-26889
 CVE-2024-27075 ,https://ubuntu.com/security/CVE-2024-27075
 CVE-2024-27077 ,https://ubuntu.com/security/CVE-2024-27077
 CVE-2024-26864 ,https://ubuntu.com/security/CVE-2024-26864
 CVE-2024-35787 ,https://ubuntu.com/security/CVE-2024-35787
 CVE-2024-27071 ,https://ubuntu.com/security/CVE-2024-27071
 CVE-2024-26880 ,https://ubuntu.com/security/CVE-2024-26880
 CVE-2024-26961 ,https://ubuntu.com/security/CVE-2024-26961
 CVE-2024-26945 ,https://ubuntu.com/security/CVE-2024-26945
 CVE-2024-26863 ,https://ubuntu.com/security/CVE-2024-26863
 CVE-2024-35795 ,https://ubuntu.com/security/CVE-2024-35795
 CVE-2024-27045 ,https://ubuntu.com/security/CVE-2024-27045
 CVE-2024-27066 ,https://ubuntu.com/security/CVE-2024-27066
 CVE-2024-27046 ,https://ubuntu.com/security/CVE-2024-27046
 CVE-2024-26816 ,https://ubuntu.com/security/CVE-2024-26816
 CVE-2024-27069 ,https://ubuntu.com/security/CVE-2024-27069
 CVE-2024-26861 ,https://ubuntu.com/security/CVE-2024-26861
 CVE-2024-26968 ,https://ubuntu.com/security/CVE-2024-26968
 CVE-2024-26963 ,https://ubuntu.com/security/CVE-2024-26963
 CVE-2024-26878 ,https://ubuntu.com/security/CVE-2024-26878
 CVE-2024-27073 ,https://ubuntu.com/security/CVE-2024-27073
 CVE-2024-35806 ,https://ubuntu.com/security/CVE-2024-35806
 CVE-2024-26951 ,https://ubuntu.com/security/CVE-2024-26951
 CVE-2024-26954 ,https://ubuntu.com/security/CVE-2024-26954
 CVE-2024-27026 ,https://ubuntu.com/security/CVE-2024-27026
 CVE-2024-26956 ,https://ubuntu.com/security/CVE-2024-26956
 CVE-2024-35811 ,https://ubuntu.com/security/CVE-2024-35811
 CVE-2024-35803 ,https://ubuntu.com/security/CVE-2024-35803
 CVE-2024-26964 ,https://ubuntu.com/security/CVE-2024-26964
 CVE-2024-26848 ,https://ubuntu.com/security/CVE-2024-26848
 CVE-2024-27434 ,https://ubuntu.com/security/CVE-2024-27434
